区分,作品名,最終視聴話,全話視聴済み(コンプリート),気になる(未視聴),マイリスト登録,ユーザー評価
視聴済み,百姓貴族,１２頭目,○,,,
視聴済み,百姓貴族 2nd Season,２６頭目,○,,,
視聴済み,転生したらスライムだった件 第4期,第85話,,,,
視聴済み,劇場版 幼女戦記,本編,○,,,
視聴済み,幼女戦記,第12話,○,,,
視聴済み,アカメが斬る！,第24話,,,,
視聴済み,Dr.STONE SCIENCE FUTURE（第4期）,第37話,,,,
視聴済み,ようこそ実力至上主義の教室へ 4th Season 2年生編1学期,第16話,○,,,
視聴済み,GATE(ゲート) 自衛隊 彼の地にて、斯く戦えり,第24話,○,,,
視聴済み,ウィッチウォッチ,第2話,○,,,
視聴済み,Re:ゼロから始める異世界生活 4th season,#77,,,,
視聴済み,左ききのエレン,第8話,,,,
視聴済み,姫騎士は蛮族の嫁,第十話,,,,
視聴済み,最強の王様、二度目の人生は何をする？,第23話,,,,
視聴済み,最強の職業は勇者でも賢者でもなく鑑定士（仮）らしいですよ？,第5話,,,,
視聴済み,春夏秋冬代行者 春の舞,第壱話,,,,
視聴済み,魔物喰らいの冒険者～俺だけ魔物を喰らって強くなる～,第1話,,,,
視聴済み,また殺されてしまったのですね、探偵様,第2話,,,,
視聴済み,電脳コイル デンノウコイル,第1話,○,,,好む
視聴済み,東のエデン,第一話,,,,好まない
視聴済み,ようこそ実力至上主義の教室へ 3rd Season,第4話,○,,,
視聴済み,ダンジョンに出会いを求めるのは間違っているだろうかⅣ,深章 厄災篇 第22話,○,,,
視聴済み,この素晴らしい世界に祝福を！,第6話,○,,,
視聴済み,この素晴らしい世界に爆焔を！,第12話,○,,,
視聴済み,この素晴らしい世界に祝福を！２,第4話,○,,,
視聴済み,この素晴らしい世界に祝福を！３,第11話,○,,,
視聴済み,よわよわ先生 超よわよわver.,Lesson.4,,,,
視聴済み,逃げ上手の若君,第九回,○,,,
視聴済み,ようこそ実力至上主義の教室へ 2nd Season,第13話,○,,,
視聴済み,クラスで2番目に可愛い女の子と友だちになった,#1,,,,
視聴済み,天才王子の赤字国家再生術,第12話,○,,,
視聴済み,【推しの子】第3期,第35話,○,,,
視聴済み,闘牌伝説アカギ,第26話,○,,,
視聴済み,葬送のフリーレン 第2期,第38話,○,,,
視聴済み,天穂のサクナヒメ ココロワ稲作日誌,前編,,,,
視聴済み,Dr.STONE NEW WORLD（第3期）,第22話,○,,,
視聴済み,幼女戦記 閑話『砂漠のパスタ大作戦』,本編,○,,,
視聴済み,葬送のフリーレン,第28話,○,,,
視聴済み,SPY×FAMILY Season 3,【MISSION:50】,○,,,
視聴済み,ログ・ホライズン 第２シリーズ,第25話,○,,,
視聴済み,ログ・ホライズン,第25話,○,,,
視聴済み,銀河鉄道999 出発篇,第1話,,,,好まない
視聴済み,鋼の錬金術師,第25話,,,,
視聴済み,悪役令嬢転生おじさん,第12話,,,,
視聴済み,異世界かるてっと３,第2話,,,,
視聴済み,瑠璃の宝石,第13話,○,,,好む(高い自認)
視聴済み,逆境無頼カイジ 破戒録篇,Bet.26,○,,,
視聴済み,逆境無頼カイジ,第26話,○,,,
視聴済み,僕らはみんな河合荘,第12話,○,,,
視聴済み,Dr.STONE 龍水,本編,○,,,
視聴済み,Dr.STONE STONE WARS（第2期）,第11話,○,,,
視聴済み,Dr.STONE（第1期）,第24話,○,,,
視聴済み,魔法科高校の劣等生,第26話,○,,,
視聴済み,ゲーセン少女と異文化交流,第1話,,,,
視聴済み,キミとアイドルプリキュア♪,第23話,,,,
視聴済み,薬屋のひとりごと,第48話,,,,
