franchise,status,example_title
100万の命の上に俺は立っている,watched,100万の命の上に俺は立っている
16bitセンセーション ANOTHER LAYER,watched,16bitセンセーション ANOTHER LAYER
180秒で君の耳を幸せにできるか？,watched,180秒で君の耳を幸せにできるか？
Angel Beats!,watched,Angel Beats!
CANAAN,watched,CANAAN
CLANNAD,watched,CLANNAD
Charlotte,watched,Charlotte
Classroom☆Crisis,interested,Classroom☆Crisis
D.C.,watched,D.C.～ダ・カーポ～
Daydream cafe/Petit Rabbit's（佐倉綾音、水瀬いのり、種田梨沙、佐藤聡美、内田真礼）,watched,Daydream cafe/Petit Rabbit's（佐倉綾音、水瀬いのり、種田梨沙、佐藤聡美、内田真礼）
Dr.STONE,watched,Dr.STONE SCIENCE FUTURE（第4期）
Fate/kaleid liner プリズマ☆イリヤ ツヴァイ！,interested,Fate/kaleid liner プリズマ☆イリヤ ツヴァイ！
GATE(ゲート) 自衛隊 彼の地にて、斯く戦えり,watched,GATE(ゲート) 自衛隊 彼の地にて、斯く戦えり
IS<インフィニット・ストラトス>,watched,IS<インフィニット・ストラトス>
K,watched,K
Kanon,watched,Kanon
Lv2からチートだった元勇者候補のまったり異世界ライフ,watched,Lv2からチートだった元勇者候補のまったり異世界ライフ
MARS RED,watched,MARS RED
Myself ; Yourself,watched,Myself ; Yourself
NEW GAME,watched,NEW GAME!!
NieR:Automata Ver1.1a,watched,NieR:Automata Ver1.1a
OVA ハイスクール・フリート,interested,OVA ハイスクール・フリート
PSYCHO-PASS,watched,PSYCHO-PASS サイコパス 3
RE-MAIN（リメイン）,watched,RE-MAIN（リメイン）
Re:ゼロ,watched,Re:ゼロから始める異世界生活 4th season
SPY×FAMILY,watched,SPY×FAMILY Season 3
STEINS;GATE,interested,STEINS;GATE
TARI TARI,watched,TARI TARI
TVアニメ「スーパーカブ」,watched,TVアニメ「スーパーカブ」
To LOVEる-とらぶる-ダークネス,watched,To LOVEる-とらぶる-ダークネス
Vivy,watched,Vivy -Fluorite Eye's Song-
WHITE ALBUM,watched,WHITE ALBUM
WORKING!!,watched,WORKING!!
kiss×sis,watched,kiss×sis
〈物語〉シリーズ,watched,〈物語〉シリーズ セカンドシーズン（第21話～第26話） 恋物語
あの日見た花の名前を僕達はまだ知らない。,watched,あの日見た花の名前を僕達はまだ知らない。
ありふれた職業で世界最強,watched,ありふれた職業で世界最強 2nd season
いわかける！,watched,いわかける！- Sport Climbing Girls -
うらみちお兄さん,watched,うらみちお兄さん
うらら迷路帖,interested,うらら迷路帖
うる星やつら,watched,うる星やつら
おちこぼれフルーツタルト,watched,おちこぼれフルーツタルト
おーばーふろぉ【オンエア版】,watched,おーばーふろぉ【オンエア版】
お兄ちゃんはおしまい！,watched,お兄ちゃんはおしまい！
かくしごと,watched,かくしごと
かぐや様は告らせたい,watched,かぐや様は告らせたい-ファーストキッスは終わらない-
かつて魔法少女と悪は敵対していた。,watched,かつて魔法少女と悪は敵対していた。
くまクマ熊ベアー,watched,くまクマ熊ベアー
けいおん！,watched,けいおん！
このすば,watched,この素晴らしい世界に祝福を！
ご注文はうさぎですか？ BLOOM,watched,ご注文はうさぎですか？ BLOOM
さくら荘のペットな彼女,watched,さくら荘のペットな彼女
しかのこのこのここしたんたん,watched,しかのこのこのここしたんたん
じゃんたま,watched,じゃんたま カン！！
その着せ替え人形は恋をする,watched,その着せ替え人形は恋をする
それが声優！,watched,それが声優！
たとえばラストダンジョン前の村の少年が序盤の街で暮らすような物語,watched,たとえばラストダンジョン前の村の少年が序盤の街で暮らすような物語
ちいかわ シーズン,watched,ちいかわ シーズン1
とあるシリーズ,watched,とある科学の一方通行
とある科学の超電磁砲,watched,とある科学の超電磁砲S
なぜ僕の世界を誰も覚えていないのか？,watched,なぜ僕の世界を誰も覚えていないのか？
のんのんびより,watched,のんのんびより
はたらく細胞,watched,はたらく細胞!!
はたらく魔王さま！,watched,はたらく魔王さま！
はめふら,watched,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…Ｘ
ばいばい、アース,watched,ばいばい、アース
ひげを剃る。そして女子高生を拾う。,watched,ひげを剃る。そして女子高生を拾う。
ふたりはプリキュア,watched,ふたりはプリキュア
ぼっち・ざ・ろっく！,watched,ぼっち・ざ・ろっく！
まえせつ！,watched,まえせつ！
また殺されてしまったのですね、探偵様,watched,また殺されてしまったのですね、探偵様
まちカドまぞく,watched,まちカドまぞく
